Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Lanes_or_Medians,Light_conditions,Weather_conditions,Type_of_collision,Cause_of_accident,Location,Accident_severity
17:02:00,Monday,18-30,Male,Above high school,Employee,1-2yr,,Daylight,Normal,Collision with roadside-parked vehicles,Moving Backward,"100 Feet Road, Anna Nagar",Slight Injury
17:02:00,Monday,31-50,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Daylight,Normal,Vehicle with vehicle collision,Overtaking,"Nungambakkam, Chennai",Slight Injury
17:02:00,Monday,18-30,Male,Junior high school,Employee,1-2yr,other,Daylight,Normal,Collision with roadside objects,Changing lane to the left,"Mount Road, Chennai",Serious Injury
01:06:00,Sunday,18-30,Male,Junior high school,Employee,5-10yr,other,Darkness - lights lit,Normal,Vehicle with vehicle collision,Changing lane to the right,"T Nagar, Chennai",Slight Injury
01:06:00,Sunday,18-30,Male,Junior high school,Employee,2-5yr,other,Darkness - lights lit,Normal,Vehicle with vehicle collision,Overtaking,"Rajiv Gandhi Salai, Chennai",Slight Injury
14:15:00,Friday,31-50,Male,,Unknown,,,Daylight,Normal,Vehicle with vehicle collision,Overloading,"Kamarajar Salai, Chennai",Slight Injury
17:30:00,Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Undivided Two way,Daylight,Normal,Vehicle with vehicle collision,Other,"Thirumangalam, Chennai",Slight Injury
17:20:00,Friday,18-30,Male,Junior high school,Employee,2-5yr,other,Daylight,Normal,Vehicle with vehicle collision,No priority to vehicle,"GST Road, Chennai",Slight Injury
17:20:00,Friday,18-30,Male,Junior high school,Employee,Above 10yr,other,Daylight,Normal,Collision with roadside-parked vehicles,Changing lane to the right,"Poonamallee High Road, Chennai",Slight Injury
17:20:00,Friday,18-30,Male,Junior high school,Employee,1-2yr,Undivided Two way,Daylight,Normal,Collision with roadside-parked vehicles,Moving Backward,"Porur, Chennai",Serious Injury
14:40:00,Saturday,18-30,Male,Above high school,Owner,1-2yr,other,Daylight,Normal,Collision with animals,Changing lane to the left,"Velachery Main Road, Chennai",Serious Injury
14:40:00,Saturday,31-50,Male,Above high school,Employee,No Licence,Undivided Two way,Daylight,Normal,Collision with animals,No priority to pedestrian,"OMR, Chennai",Serious Injury
17:45:00,Thursday,18-30,Male,Junior high school,Employee,1-2yr,Double carriageway (median),Daylight,Normal,Collision with animals,No distancing,"Chromepet, Chennai",Slight Injury
17:45:00,Thursday,31-50,Male,Junior high school,Employee,5-10yr,other,Daylight,Normal,Collision with animals,No priority to vehicle,"Outer Ring Road, Chennai",Slight Injury
17:45:00,Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Daylight,Normal,Collision with animals,No distancing,"Old Mahabalipuram Road, Chennai",Serious Injury
22:45:00,Monday,18-30,Female,Junior high school,Employee,Above 10yr,One way,Darkness - lights lit,Raining,Collision with animals,No distancing,"Tambaram, Chennai",Serious Injury
22:45:00,Monday,18-30,Male,Junior high school,Owner,5-10yr,Undivided Two way,Darkness - lights lit,Raining,Collision with animals,Moving Backward,"ECR, Chennai",Slight Injury
22:45:00,Monday,18-30,Male,Elementary school,Employee,2-5yr,other,Darkness - lights lit,Raining,Collision with animals,Changing lane to the right,"GST Road, Chennai",Serious Injury
22:45:00,Monday,18-30,Male,Junior high school,Employee,2-5yr,other,Darkness - lights lit,Raining,Collision with animals,No priority to pedestrian,"Alandur, Chennai",Slight Injury
08:20:00,Tuesday,18-30,Male,Junior high school,Employee,Below 1yr,One way,Daylight,Normal,Collision with animals,Moving Backward,"Rajiv Gandhi Salai, Chennai",Serious Injury
08:20:00,Tuesday,Under 18,Male,Junior high school,Employee,2-5yr,One way,Daylight,Normal,Collision with animals,Getting off the vehicle improperly,"Mount Road, Chennai",Slight Injury
15:10:00,Thursday,18-30,Male,Junior high school,Employee,2-5yr,Undivided Two way,Daylight,Normal,Collision with animals,Overtaking,"Vadapalani, Chennai",Serious Injury
12:11:00,Thursday,18-30,Male,Elementary school,Employee,5-10yr,other,Daylight,Normal,Other,Overloading,"Thirumangalam High Road, Chennai",Serious Injury
12:11:00,Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Daylight,Normal,Rollover,Changing lane to the right,"Perambur, Chennai",Serious Injury
18:36:00,Wednesday,18-30,Male,,Unknown,,other,Daylight,Normal,Collision with animals,Improper parking,"GST Road, Chennai",Slight Injury
18:36:00,Wednesday,18-30,Male,Junior high school,Employee,2-5yr,other,Daylight,Normal,Rollover,Other,"Old Mahabalipuram Road, Chennai",Slight Injury
18:36:00,Wednesday,18-30,Unknown,Junior high school,Employee,5-10yr,Double carriageway (median),Daylight,Normal,Collision with animals,Changing lane to the left,"Tambaram, Chennai",Slight Injury
14:35:00,Friday,18-30,Male,Above high school,Employee,2-5yr,Undivided Two way,Daylight,Normal,Collision with animals,Changing lane to the right,"ECR, Chennai",Slight Injury
12:25:00,Tuesday,Over 51,Unknown,,Unknown,,other,Daylight,Normal,Vehicle with vehicle collision,No priority to pedestrian,"OMR, Chennai",Slight Injury
12:25:00,Tuesday,18-30,Male,,Employee,1-2yr,other,Daylight,Normal,Fall from vehicles,Overspeed,"Alandur, Chennai",Slight Injury
15:30:00,Monday,18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with solid lines road marking),Daylight,Normal,Collision with roadside-parked vehicles,Changing lane to the left,"Vadapalani, Chennai",Slight Injury
18:10:00,Thursday,18-30,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Daylight,Normal,Collision with roadside-parked vehicles,No priority to vehicle,"Thirumangalam High Road, Chennai",Slight Injury
15:25:00,Thursday,18-30,Male,Junior high school,Employee,Below 1yr,Undivided Two way,Daylight,Normal,Rollover,Changing lane to the right,"Perambur, Chennai",Slight Injury
15:25:00,Thursday,31-50,Unknown,Junior high school,Employee,2-5yr,other,Daylight,Normal,Collision with animals,No distancing,"GST Road, Chennai",Slight Injury
13:57:00,Saturday,Over 51,Male,Junior high school,Employee,Below 1yr,Undivided Two way,Daylight,Normal,Collision with animals,No priority to pedestrian,"Old Mahabalipuram Road, Chennai",Slight Injury
13:57:00,Saturday,18-30,Male,High school,Employee,5-10yr,Undivided Two way,Daylight,Normal,Fall from vehicles,No distancing,"Tambaram, Chennai",Slight Injury
