Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Lanes_or_Medians,Light_conditions,Weather_conditions,Type_of_collision,Cause_of_accident,Location,Accident_severity
17:02:00,Monday,18-30,Male,Above high school,Employee,1-2yr,Unknown,Daylight,Normal,Collision with roadside-parked vehicles,Moving Backward,"100 Feet Road, Anna Nagar",2
17:02:00,Monday,31-50,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Daylight,Normal,Vehicle with vehicle collision,Overtaking,"Nungambakkam, Chennai",2
17:02:00,Monday,18-30,Male,Junior high school,Employee,1-2yr,other,Daylight,Normal,Collision with roadside objects,Changing lane to the left,"Mount Road, Chennai",1
01:06:00,Sunday,18-30,Male,Junior high school,Employee,5-10yr,other,Darkness - lights lit,Normal,Vehicle with vehicle collision,Changing lane to the right,"T Nagar, Chennai",2
01:06:00,Sunday,18-30,Male,Junior high school,Employee,2-5yr,other,Darkness - lights lit,Normal,Vehicle with vehicle collision,Overtaking,"Rajiv Gandhi Salai, Chennai",2
14:15:00,Friday,31-50,Male,Unknown,Unknown,Unknown,Unknown,Daylight,Normal,Vehicle with vehicle collision,Overloading,"Kamarajar Salai, Chennai",2
17:30:00,Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Undivided Two way,Daylight,Normal,Vehicle with vehicle collision,Other,"Thirumangalam, Chennai",2
17:20:00,Friday,18-30,Male,Junior high school,Employee,2-5yr,other,Daylight,Normal,Vehicle with vehicle collision,No priority to vehicle,"GST Road, Chennai",2
17:20:00,Friday,18-30,Male,Junior high school,Employee,Above 10yr,other,Daylight,Normal,Collision with roadside-parked vehicles,Changing lane to the right,"Poonamallee High Road, Chennai",2
17:20:00,Friday,18-30,Male,Junior high school,Employee,1-2yr,Undivided Two way,Daylight,Normal,Collision with roadside-parked vehicles,Moving Backward,"Porur, Chennai",1
14:40:00,Saturday,18-30,Male,Above high school,Owner,1-2yr,other,Daylight,Normal,Collision with animals,Changing lane to the left,"Velachery Main Road, Chennai",1
14:40:00,Saturday,31-50,Male,Above high school,Employee,No Licence,Undivided Two way,Daylight,Normal,Collision with animals,No priority to pedestrian,"OMR, Chennai",1
17:45:00,Thursday,18-30,Male,Junior high school,Employee,1-2yr,Double carriageway (median),Daylight,Normal,Collision with animals,No distancing,"Chromepet, Chennai",2
17:45:00,Thursday,31-50,Male,Junior high school,Employee,5-10yr,other,Daylight,Normal,Collision with animals,No priority to vehicle,"Outer Ring Road, Chennai",2
17:45:00,Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Daylight,Normal,Collision with animals,No distancing,"Old Mahabalipuram Road, Chennai",1
22:45:00,Monday,18-30,Female,Junior high school,Employee,Above 10yr,One way,Darkness - lights lit,Raining,Collision with animals,No distancing,"Tambaram, Chennai",1
22:45:00,Monday,18-30,Male,Junior high school,Owner,5-10yr,Undivided Two way,Darkness - lights lit,Raining,Collision with animals,Moving Backward,"ECR, Chennai",2
22:45:00,Monday,18-30,Male,Elementary school,Employee,2-5yr,other,Darkness - lights lit,Raining,Collision with animals,Changing lane to the right,"GST Road, Chennai",1
22:45:00,Monday,18-30,Male,Junior high school,Employee,2-5yr,other,Darkness - lights lit,Raining,Collision with animals,No priority to pedestrian,"Alandur, Chennai",2
08:20:00,Tuesday,18-30,Male,Junior high school,Employee,Below 1yr,One way,Daylight,Normal,Collision with animals,Moving Backward,"Rajiv Gandhi Salai, Chennai",1
08:20:00,Tuesday,Under 18,Male,Junior high school,Employee,2-5yr,One way,Daylight,Normal,Collision with animals,Getting off the vehicle improperly,"Mount Road, Chennai",2
15:10:00,Thursday,18-30,Male,Junior high school,Employee,2-5yr,Undivided Two way,Daylight,Normal,Collision with animals,Overtaking,"Vadapalani, Chennai",1
12:11:00,Thursday,18-30,Male,Elementary school,Employee,5-10yr,other,Daylight,Normal,Other,Overloading,"Thirumangalam High Road, Chennai",1
12:11:00,Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Daylight,Normal,Rollover,Changing lane to the right,"Perambur, Chennai",1
18:36:00,Wednesday,18-30,Male,Unknown,Unknown,Unknown,other,Daylight,Normal,Collision with animals,Improper parking,"GST Road, Chennai",2
18:36:00,Wednesday,18-30,Male,Junior high school,Employee,2-5yr,other,Daylight,Normal,Rollover,Other,"Old Mahabalipuram Road, Chennai",2
